date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:14:08	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Aug%202021%2013:14:06%20GMT	https://www.rice-ins.com/robots.txt		(from )
20:14:08	67208/67208	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Aug%202021%2013:14:06%20GMT	https://www.rice-ins.com/	D:/My%20Web%20Sites%20Bkstar/bkstrar/www.rice-ins.com/index.html	(from )
20:14:08	11014/11014	---M--	200	added ('OK')	image/png	etag:%22af74b8296313d71:0%22	https://www.rice-ins.com/images/logo-ins.png	D:/My%20Web%20Sites%20Bkstar/bkstrar/www.rice-ins.com/images/logo-ins.png	(from https://www.rice-ins.com/)
20:14:09	146029/146029	---MCZ	200	added ('OK')	text/css	etag:%223d7949a73c14d71:0%22	https://www.rice-ins.com/stylesheets/bootstrap.css	D:/My%20Web%20Sites%20Bkstar/bkstrar/www.rice-ins.com/stylesheets/bootstrap.css	(from https://www.rice-ins.com/)
20:14:09	34547/34547	---M-Z	200	added ('OK')	text/css	etag:%22e7ccdba63c14d71:0%22	https://www.rice-ins.com/stylesheets/shortcodes.css	D:/My%20Web%20Sites%20Bkstar/bkstrar/www.rice-ins.com/stylesheets/shortcodes.css	(from https://www.rice-ins.com/)
20:14:10	86464/86464	---MCZ	200	added ('OK')	text/css	etag:%22eeb76a73c14d71:0%22	https://www.rice-ins.com/stylesheets/style.css	D:/My%20Web%20Sites%20Bkstar/bkstrar/www.rice-ins.com/stylesheets/style.css	(from https://www.rice-ins.com/)
20:14:10	8855/8855	---M-Z	200	added ('OK')	text/css	etag:%223630bfa63c14d71:0%22	https://www.rice-ins.com/stylesheets/responsive.css	D:/My%20Web%20Sites%20Bkstar/bkstrar/www.rice-ins.com/stylesheets/responsive.css	(from https://www.rice-ins.com/)
20:14:11	0/0	---M--	200	added ('OK')	text/css	etag:%22d6c676a73c14d71:0%22	https://www.rice-ins.com/stylesheets/colors/color1.css	D:/My%20Web%20Sites%20Bkstar/bkstrar/www.rice-ins.com/stylesheets/colors/color1.5.delayed	(from https://www.rice-ins.com/)
20:14:11	147785/147785	---MCZ	200	added ('OK')	text/css	etag:%22587c2796313d71:0%22	https://www.rice-ins.com/revolution/css/layers.css	D:/My%20Web%20Sites%20Bkstar/bkstrar/www.rice-ins.com/revolution/css/layers.css	(from https://www.rice-ins.com/)
20:14:12	29658/29658	---M-Z	200	added ('OK')	text/css	etag:%2274eae3796313d71:0%22	https://www.rice-ins.com/revolution/css/settings.css	D:/My%20Web%20Sites%20Bkstar/bkstrar/www.rice-ins.com/revolution/css/settings.css	(from https://www.rice-ins.com/)
20:14:12	69747/69747	---MCZ	200	added ('OK')	text/css	etag:%227b434a73c14d71:0%22	https://www.rice-ins.com/stylesheets/animate.css	D:/My%20Web%20Sites%20Bkstar/bkstrar/www.rice-ins.com/stylesheets/animate.css	(from https://www.rice-ins.com/)
20:14:13	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%22da7d7a63c14d71:0%22	https://www.rice-ins.com/stylesheets/slick.css	D:/My%20Web%20Sites%20Bkstar/bkstrar/www.rice-ins.com/stylesheets/slick.css	(from https://www.rice-ins.com/)
20:14:13	3146/3146	---M-Z	200	added ('OK')	text/css	etag:%224b69f8a63c14d71:0%22	https://www.rice-ins.com/stylesheets/slick-theme.css	D:/My%20Web%20Sites%20Bkstar/bkstrar/www.rice-ins.com/stylesheets/slick-theme.css	(from https://www.rice-ins.com/)
20:14:14	13667/13667	---M-Z	200	added ('OK')	text/css	etag:%22ba515a73c14d71:0%22	https://www.rice-ins.com/stylesheets/swiper.min.css	D:/My%20Web%20Sites%20Bkstar/bkstrar/www.rice-ins.com/stylesheets/swiper.min.css	(from https://www.rice-ins.com/)
20:14:14	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Aug%202021%2013:14:12%20GMT	https://www.rice-ins.com/icon/apple-touch-icon-48-precomposed.png	D:/My%20Web%20Sites%20Bkstar/bkstrar/www.rice-ins.com/icon/apple-touch-icon-48-precomposed.c.delayed	(from https://www.rice-ins.com/)
20:14:14	158/158	---M--	302	error ('Found')	text/html	date:Thu,%2019%20Aug%202021%2013:14:12%20GMT	https://www.rice-ins.com/icon/apple-touch-icon-32-precomposed.html	D:/My%20Web%20Sites%20Bkstar/bkstrar/www.rice-ins.com/icon/apple-touch-icon-32-precomposed.d.delayed	(from https://www.rice-ins.com/)
20:14:15	67233/67233	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Aug%202021%2013:14:13%20GMT	https://www.rice-ins.com/1/trang-chu.html	D:/My%20Web%20Sites%20Bkstar/bkstrar/www.rice-ins.com/1/trang-chu.html	(from https://www.rice-ins.com/)
20:14:16	86549/86549	---M--	200	added ('OK')	image/png	etag:%22f8ceaf286313d71:0%22	https://www.rice-ins.com/icon/favicon.png	D:/My%20Web%20Sites%20Bkstar/bkstrar/www.rice-ins.com/icon/favicon.png	(from https://www.rice-ins.com/)
20:14:16	95931/95931	---MCZ	200	added ('OK')	application/javascript	etag:%22ba36be2d6313d71:0%22	https://www.rice-ins.com/javascript/jquery.min.js	D:/My%20Web%20Sites%20Bkstar/bkstrar/www.rice-ins.com/javascript/jquery.min.js	(from https://www.rice-ins.com/)
